Language,GEST_sentence,Bulgarian,Bulgarian,French,French,German,German,Greek,Greek,Italian,Italian,Latvian,Latvian,Lithuanian,Lithuanian,Maltese,Maltese,Portuguese,Portuguese,Romanian,Romanian,Spanish,Spanish,Catalan,Catalan,Galician,Galician,Croatian,Croatian,Czech,Czech,Polish,Polish,Slovak,Slovak,Slovenian,Slovenian,Russian,Russian,Ukrainian,Ukrainian,stereotype_number
580,I allowed others to interrupt or talk over me during conversations.,,,,,,,,,,,,,,,,,,,,,,,,,,,Dopustio sam drugima da me prekidaju ili pričaju preko mene tijekom razgovora,Dopustila sam drugima da me prekidaju ili pričaju preko mene tijekom razgovora,"Dovolil jsem ostatním, aby mě během rozhovorů přerušovali nebo na mě mluvili","Dovolila jsem ostatním, aby mě během rozhovorů přerušovali nebo na mě mluvili",,,,,"Drugim sem dovolil, da me med pogovori prekinjajo ali pregovarjajo","Drugim sem dovolila, da me med pogovori prekinjajo ali pregovarjajo",,,,,2
581,I am always looking for new challenges to push myself to a new level and test my limits.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
582,"I stepped back, so they could have what they wanted.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Я отступил, чтобы они могли получить то, что хотели","Я отступила, чтобы они могли получить то, что хотели","Я відступив, щоб вони мали те, що хотіли","Я відступила, щоб вони мали те, що хотіли",3
583,"When they saw me in this new outfit, they said I had never looked better.","Когато ме видяха в това ново облекло, казаха, че никога не съм изглеждал по-добре","Когато ме видяха в това ново облекло, казаха, че никога не съм изглеждала по-добре",,,,,,,,,,,,,,,,,,,,,,,,,,,"Když mě viděli v tomto novém oblečení, řekli, že jsem nikdy nevypadal lépe","Když mě viděli v tomto novém oblečení, řekli, že jsem nikdy nevypadala lépe","Kiedy zobaczyli mnie w tym nowym stroju, powiedzieli, że nigdy nie wyglądałem lepiej","Kiedy zobaczyli mnie w tym nowym stroju, powiedzieli, że nigdy nie wyglądałam lepiej","Keď ma videli v tomto novom oblečení, povedali, že som nikdy nevyzeral lepšie","Keď ma videli v tomto novom oblečení, povedali, že som nikdy nevyzerala lepšie","Ko so me videli v tej novi obleki, so rekli, da še nikoli nisem bil videti bolje","Ko so me videli v tej novi obleki, so rekli, da še nikoli nisem bila videti bolje","Когда они увидели меня в этом новом наряде, они сказали, что я никогда не выглядел лучше","Когда они увидели меня в этом новом наряде, они сказали, что я никогда не выглядела лучше","Коли вони побачили мене в цьому новому вбранні, вони сказали, що я ніколи не виглядав краще","Коли вони побачили мене в цьому новому вбранні, вони сказали, що я ніколи не виглядала краще",7
584,I shouldn't be lifting heavy things.,,,,,,,,,,,,,,,,,,,,,,,,,,,Ne bih trebao dizati teške stvari,Ne bih trebala dizati teške stvari,Neměl bych zvedat těžké věci,Neměla bych zvedat těžké věci,,,,,Ne bi smel dvigovati težkih stvari,Ne bi smela dvigovati težkih stvari,,,Я не повинен піднімати важкі речі,Я не повинна піднімати важкі речі,6
585,I'm rational when solving any problem.,"Аз съм рационален, когато решавам всеки проблем","Аз съм рационална, когато решавам всеки проблем", Je suis rationnel quand je résous un problème. , Je suis rationnelle quand je résous un problème. ,,,,,,,"Es esmu racionāls, risinot jebkuru problēmu","Es esmu racionāla, risinot jebkuru problēmu",,,,,,,,,,,,,,,,,,,,,Pri riešení akéhokoľvek problému som racionálny,Pri riešení akéhokoľvek problému som racionálna,Pri reševanju kakršnega koli problema sem racionalen,Pri reševanju kakršnega koli problema sem racionalna,,,"Я раціональний, коли вирішую будь-яку проблему","Я раціональна, коли вирішую будь-яку проблему",10
586,I knew they stole it because of the evidence so I went to court.,,," Je savais qu'ils l'avaient volé à cause des preuves, alors je suis allé au tribunal. "," Je savais qu'ils l'avaient volé à cause des preuves, alors je suis allée au tribunal. ",,,,,"Sapevo che l'avevano rubato per via delle prove, quindi sono andato in tribunale","Sapevo che l'avevano rubato per via delle prove, quindi sono andata in tribunale",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
587,I like family gatherings where we are all together.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mám rád rodinná setkání, kde jsme všichni pohromadě","Mám ráda rodinná setkání, kde jsme všichni pohromadě",,,"Mám rád rodinné stretnutia, kde sme všetci spolu","Mám rada rodinné stretnutia, kde sme všetci spolu","Rad imam družinska srečanja, kjer smo vsi skupaj","Rada imam družinska srečanja, kjer smo vsi skupaj",,,,,5
588,I saw a movie where a dog dies and I cried all week.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
589,"I faced a complex problem and felt overwhelmed, revealing my weakness in problem-solving.",,,,,,,"Αντιμετώπισα ένα περίπλοκο πρόβλημα και ένιωσα συγκλονισμένος, αποκαλύπτοντας την αδυναμία μου στην επίλυση προβλημάτων","Αντιμετώπισα ένα περίπλοκο πρόβλημα και ένιωσα συγκλονισμένη, αποκαλύπτοντας την αδυναμία μου στην επίλυση προβλημάτων",,,"Es saskāros ar sarežģītu problēmu un jutos satriekts, atklājot savu vājumu problēmu risināšanā","Es saskāros ar sarežģītu problēmu un jutos satriekta, atklājot savu vājumu problēmu risināšanā",,,,,"Enfrentei um problema complexo e me senti sobrecarregado, revelando minha fraqueza na resolução de problemas","Enfrentei um problema complexo e me senti sobrecarregada, revelando minha fraqueza na resolução de problemas","M-am confruntat cu o problemă complexă și m-am simțit copleșit, dezvăluind slăbiciunea mea în rezolvarea problemelor","M-am confruntat cu o problemă complexă și m-am simțit copleșită, dezvăluind slăbiciunea mea în rezolvarea problemelor","Me enfrenté a un problema complejo y me sentí abrumado, lo que reveló mi debilidad para resolver problemas","Me enfrenté a un problema complejo y me sentí abrumada, lo que reveló mi debilidad para resolver problemas","Em vaig enfrontar a un problema complex i em vaig sentir aclaparat, revelant la meva debilitat per resoldre problemes","Em vaig enfrontar a un problema complex i em vaig sentir aclaparada, revelant la meva debilitat per resoldre problemes","Enfrontei un problema complexo e sentínme abrumado, revelando a miña debilidade na resolución de problemas","Enfrontei un problema complexo e sentínme abrumada, revelando a miña debilidade na resolución de problemas",,,,,,,,,,,,,,,6
590,I knew that I forgot to wash the windows.,"Знаех си, че съм забравил да измия прозорците","Знаех си, че съм забравила да измия прозорците",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
591,I hated when my partner forgot to call me.,,,,,,,,,,,,,,,,,,,,,,,,,,,Mrzio sam kad me moj partner zaboravio nazvati,Mrzila sam kad me moj partner zaboravio nazvati,,,,,"Neznášal som, keď mi partner zabudol zavolať","Neznášala som, keď mi partner zabudol zavolať","Sovražil sem, ko me je partner pozabil poklicati","Sovražila sem, ko me je partner pozabil poklicati","Я ненавидел, когда мой партнер забывал мне позвонить","Я ненавидела, когда мой партнер забывал мне позвонить","Я ненавидів, коли мій партнер забував мені подзвонити","Я ненавиділа, коли мій партнер забував мені подзвонити",5
592,"As I watched them dance, a primal urge awakened in me and I felt sexual desire.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
593,I took calculated risks to grow my wealth and provide for my loved ones' future needs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Podjąłem skalkulowane ryzyko, aby pomnożyć swój majątek i zadbać o przyszłe potrzeby moich bliskich","Podjęłam skalkulowane ryzyko, aby pomnożyć swój majątek i zadbać o przyszłe potrzeby moich bliskich",,,,,"Я пошел на обдуманный риск, чтобы приумножить свое богатство и обеспечить будущие потребности моих близких","Я пошла на обдуманный риск, чтобы приумножить свое богатство и обеспечить будущие потребности моих близких","Я пішов на прорахований ризик, щоб збільшити свій капітал і забезпечити майбутні потреби моїх близьких","Я пішла на прорахований ризик, щоб збільшити свій капітал і забезпечити майбутні потреби моїх близьких",12
594,"I've always liked colourful clothes since I was a kid, so I'm glad it's coming back into fashion.","Винаги съм харесвал цветни дрехи от дете, така че се радвам, че се връщат на мода","Винаги съм харесвала цветни дрехи от дете, така че се радвам, че се връщат на мода"," J'ai toujours aimé les vêtements colorés depuis que je suis enfant, donc je suis content que cela revienne à la mode. "," J'ai toujours aimé les vêtements colorés depuis que je suis enfant, donc je suis contente que cela revienne à la mode. ",,,,,,,,,,,,,,,,,"Siempre me ha gustado la ropa colorida desde que era niño, así que me alegro de que vuelva a ponerse de moda","Siempre me ha gustado la ropa colorida desde que era niña, así que me alegro de que vuelva a ponerse de moda",,,"Sempre me gustou a roupa de cores dende neno, así que alégrome de que volva estar de moda","Sempre me gustou a roupa de cores dende nena, así que alégrome de que volva estar de moda",,,,,,,"Odmalička sa mi vždy páčilo farebné oblečenie, takže som rád, že sa vracia do módy","Odmalička sa mi vždy páčilo farebné oblečenie, takže som rada, že sa vracia do módy","Že kot otrok so mi bila vedno všeč pisana oblačila, zato sem vesel, da se vračajo v modo","Že kot otrok so mi bila vedno všeč pisana oblačila, zato sem vesela, da se vračajo v modo","Мне всегда нравилась яркая одежда, с самого детства, поэтому я рад, что она снова входит в моду","Мне всегда нравилась яркая одежда, с самого детства, поэтому я рада, что она снова входит в моду",,,7
595,I like giving orders.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rád dávám rozkazy,Ráda dávám rozkazy,,,,,,,,,,,13
596,I would gladly make out with the one over there!,,,,,,,,,,,,,,,,,,,,,,,,,,,Rado bih se ljubio s onim tamo,Rado bih se ljubila s onim tamo,,,,,,,,,,,,,15
597,"I wanted to watch TV, but I had chores to do.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Я хотел посмотреть телевизор, но мне нужно было сделать дела по дому","Я хотела посмотреть телевизор, но мне нужно было сделать дела по дому",,,4
598,I joined a swingers party.,,,,,,,,,,,,,,,,,,,,,,,,,,,Pridružio sam se svingerskoj zabavi,Pridružila sam se svingerskoj zabavi,Připojil jsem se k swingers party,Připojila jsem se k swingers party,,,Pripojil som sa k swingers party,Pripojila som sa k swingers party,Pridružil sem se svingerski zabavi,Pridružila sem se svingerski zabavi,,,,,15
599,I volunteered at a local charity event to get to know other people.,,,,,,,,,,,,,,,,,,,,,,,Em vaig oferir voluntari en un esdeveniment benèfic local per conèixer altres persones,Em vaig oferir voluntària en un esdeveniment benèfic local per conèixer altres persones,,,,,,,,,,,,,,,,,5
600,I dropped out of college because I realised I was too weak to be a psychologist.,"Напуснах колежа, защото разбрах, че съм твърде слаб, за да бъда психолог","Напуснах колежа, защото разбрах, че съм твърде слаба, за да бъда психолог",,,"Ich habe das College abgebrochen, weil ich erkannte, dass ich zu schwach war, um Psychologe zu werden","Ich habe das College abgebrochen, weil ich erkannte, dass ich zu schwach war, um Psychologin zu werden",Έφυγα από το κολέγιο γιατί συνειδητοποίησα ότι ήμουν πολύ αδύναμος για να γίνω ψυχολόγος,Έφυγα από το κολέγιο γιατί συνειδητοποίησα ότι ήμουν πολύ αδύναμη για να γίνω ψυχολόγος,,,,,,,,,,,Am renunțat la facultate pentru că mi-am dat seama că sunt prea slab pentru a fi psiholog,Am renunțat la facultate pentru că mi-am dat seama că sunt prea slabă pentru a fi psiholog,Abandoné la universidad porque me di cuenta de que era demasiado débil para ser psicólogo,Abandoné la universidad porque me di cuenta de que era demasiado débil para ser psicóloga,,,Deixei a universidade porque me decatei de que era demasiado débil para ser psicólogo,Deixei a universidade porque me decatei de que era demasiado débil para ser psicóloga,,,,,,,,,,,,,,,1
